time,cza,az,hangle,shadow,intern_flags,cloud_present,rrtmg_lwd_clear,rrtmg_swd_clear,rrtmg_swd_toa,qcrad_swd,qcrad_lwd,qcrad_lwu,ml_lwu_clear,albedo,shadow2,qcrad_swd_clear_noshad
2021-09-01 00:00:00,0.3165176029109219,4.638154029846191,0.40072958925303204,1.0,,,293.0340953795412,56.5279690071328,153.4309265718978,101.7126,328.49023,411.00358666666665,401.2351344744699,0.16618867218494415,1.0,
2021-09-01 01:00:00,0.11959065621263647,4.802865982055664,0.3969768459008706,1.0,,,291.0857542228479,3.6983159637878816e-08,1.3401511188305853e-07,38.075096,343.08447,395.79240166666665,384.5864735542488,0.16618867218494415,1.0,
2021-09-01 02:00:00,-0.06350239543476595,4.967339992523193,0.3770227962106335,1.0,,,287.1399330382848,3.7173794342342686e-08,1.3401511185487404e-07,0.043709632,353.21884,386.336235,373.65023158056846,0.16618867218494415,1.0,
2021-09-01 03:00:00,-0.27100333724183595,5.144843578338623,0.32063150612405467,1.0,,,288.3330864045475,3.710251597848011e-08,1.340151118270087e-07,-0.7808946,350.1012,386.27588833333334,369.72899149590114,0.16618867218494415,1.0,
2021-09-01 04:00:00,-0.4347528405834765,5.34932804107666,0.23269110753350708,1.0,,,287.18133335992394,3.7156045731532874e-08,1.3401511177804606e-07,-0.6701011,350.50784,376.5527083333333,366.2289332574586,0.16618867218494415,1.0,
2021-09-01 05:00:00,-0.5627464048459007,5.595649719238281,0.07204479860530257,1.0,,,285.0297049795385,3.725736693054443e-08,1.3401511172512329e-07,-1.0029422,330.0622,366.80165666666664,363.9157019167821,0.16618867218494415,1.0,
2021-09-01 06:00:00,-0.6462670523869198,5.894122123718262,0.097913222097624,1.0,,,286.0837965112367,3.7224934874604746e-08,1.3401511165802517e-07,-0.9219713,310.0069,355.20600833333333,354.05551093373526,0.16618867218494415,1.0,
2021-09-01 07:00:00,-0.6796289965195375,6.23604154586792,0.140207079637215,1.0,,,287.0315867892271,3.7152738252278835e-08,1.3401511164979405e-07,-0.6780316,318.56937,356.72407666666663,349.6256430759651,0.16618867218494415,1.0,
2021-09-01 08:00:00,-0.6605654580305296,0.30116280913352966,0.26741720920588247,1.0,,,285.9249035462689,3.719693416413438e-08,1.3401511148833485e-07,-0.92104185,321.41776,355.2453733333333,349.6878089366946,0.16618867218494415,1.0,
2021-09-01 09:00:00,-0.5903831777688776,0.6136847734451294,0.3168685485349935,1.0,,,284.6495659591038,3.7312378217780434e-08,1.3401511110386993e-07,-0.856677,326.0657,352.91301500000003,346.4566099776912,0.16618867218494415,1.0,
2021-09-01 10:00:00,-0.4738737208689609,0.8738558292388916,0.2028893801275056,1.0,,,284.7078974214719,3.729046297171623e-08,1.3401511039333185e-07,-0.79805356,345.5137,357.9409,347.1752060988438,0.16618867218494415,1.0,
2021-09-01 11:00:00,-0.3189873035600388,1.0885337591171265,0.1985741483433881,1.0,,,283.9782334119268,3.733404210360122e-08,1.3401510696901298e-07,-0.41486964,345.17307,360.37846,348.9858698235981,0.16618867218494415,1.0,
2021-09-01 12:00:00,-0.13609142214317219,1.2722588777542114,0.2490240891413467,1.0,,,285.6931402152132,26.717377036630104,84.12244731466099,-0.32708165,348.63638,372.2456733333333,366.01314039326456,0.16161903738975525,1.0,
2021-09-01 13:00:00,0.06524524102762409,1.439386010169983,0.23286271062848013,1.0,,,288.29875183754973,179.8456348650351,348.53546997216154,10.7315645,333.14957,370.0488183333334,364.9811505869003,0.16161903738975525,1.0,
2021-09-01 14:00:00,0.26260039544562325,1.603227972984314,0.2124420161040347,0.0,,,290.68760552129834,375.8722974435244,600.0664919677085,136.1518,305.4932,374.8789316666667,371.3506535763028,0.16161903738975525,0.3333333333333333,
2021-09-01 15:00:00,0.45018110577554543,1.7780824899673462,0.17809882767263263,0.0,,,293.24659065968166,562.7377840024436,818.7949968497554,346.77112,300.14554,397.32534000000004,399.9466989638502,0.16161903738975525,0.0,
2021-09-01 16:00:00,0.6133980386333396,1.982878565788269,0.1681267023131344,0.0,,,295.38399863489656,713.8905350196891,989.532021553166,599.87756,327.5485,430.1486816666667,418.3917234369253,0.16161903738975525,0.0,
2021-09-01 17:00:00,0.740912084846336,2.246222496032715,0.12549022284785127,0.0,,,297.96668776357035,814.2127173082777,1100.5478513504424,372.3288,345.9596,425.3834783333333,432.59780261474134,0.16161903738975525,0.0,
2021-09-01 18:00:00,0.823962684626168,2.606639862060547,0.1648627693106198,0.0,,,299.3426773238666,855.5528275038972,1144.229588052362,245.8112,362.30246,416.34933166666667,443.6484692433925,0.16161903738975525,0.0,
2021-09-01 19:00:00,0.856854081948815,3.075810432434082,0.16090235995464036,0.0,,,299.8960264898067,833.2291850304524,1117.5717262111111,103.08715,360.84686,381.01976666666667,424.9348610946371,0.16161903738975525,0.0,
2021-09-01 20:00:00,0.8373230193920357,3.5625922679901123,0.15404502223503452,0.0,,,299.7020098575689,747.4730895509629,1022.3760323699648,179.99031,348.96634,381.37705833333337,416.7676725472027,0.16161903738975525,0.0,
2021-09-01 21:00:00,0.7666892912798007,3.952765464782715,0.1928562052842919,0.0,,,298.0411914953279,608.2041680014815,865.1318194975512,144.19899,351.93134,382.0141433333334,406.0300784002125,0.16161903738975525,0.0,
2021-09-01 22:00:00,0.6497681498624037,4.237156391143799,0.2517250555975319,0.0,,,296.9033575564308,427.0381953623922,656.5940003442207,94.91436,354.104,378.2154933333333,393.6377378456869,0.16161903738975525,0.0,
